ticker_raw,name_cn,hs_sector,code
861 HK,神州控股,资讯科技业,0861.HK
867 HK,康哲药业,医疗保健业,0867.HK
868 HK,信义玻璃,原材料业,0868.HK
880 HK,澳博控股,非必需性消费,0880.HK
881 HK,中升控股,非必需性消费,0881.HK
882 HK,天津发展,能源业,0882.HK
883 HK,中国海洋石油,能源业,0883.HK
902 HK,华能国际电力股份,公用事业,0902.HK
909 HK,明源云,资讯科技业,0909.HK
914 HK,海螺水泥,原材料业,0914.HK
916 HK,龙源电力,公用事业,0916.HK
917 HK,趣致集团,非必需性消费,0917.HK
934 HK,中石化冠德,能源业,0934.HK
939 HK,建设银行,金融业,0939.HK
941 HK,中国移动,电讯业,0941.HK
956 HK,新天绿色能源,公用事业,0956.HK
960 HK,龙湖集团,地产建筑业,0960.HK
966 HK,中国太平,金融业,0966.HK
968 HK,信义光能,原材料业,0968.HK
981 HK,中芯国际,资讯科技业,0981.HK
990 HK,荣晖国际,原材料业,0990.HK
991 HK,大唐发电,公用事业,0991.HK
992 HK,联想集团,资讯科技业,0992.HK
998 HK,中信银行,金融业,0998.HK
999 HK,小菜园,非必需性消费,0999.HK
1024 HK,快手 - W,资讯科技业,1024.HK
1030 HK,新城发展,地产建筑业,1030.HK
1038 HK,长江基建集团,公用事业,1038.HK
1044 HK,恒安国际,必需性消费,1044.HK
1052 HK,越秀交通基建,工业,1052.HK
1055 HK,中国南方航空股份,工业,1055.HK
1060 HK,阿里影业,非必需性消费,1060.HK
1066 HK,威高股份,医疗保健业,1066.HK
1068 HK,雨润食品,必需性消费,1068.HK
1070 HK,TCL 电子,非必需性消费,1070.HK
1071 HK,华电国际电力股份,公用事业,1071.HK
1083 HK,港华智慧能源,公用事业,1083.HK
1088 HK,中国神华,能源业,1088.HK
1093 HK,石药集团,医疗保健业,1093.HK
1099 HK,国药控股,医疗保健业,1099.HK
1109 HK,华润置地,地产建筑业,1109.HK
1112 HK,H&H 国际控股,非必需性消费,1112.HK
1113 HK,长实集团,综合企业,1113.HK
1114 HK,华晨中国,非必需性消费,1114.HK
1128 HK,永利澳门,非必需性消费,1128.HK
1138 HK,中远海能,工业,1138.HK
1157 HK,中联重科,工业,1157.HK
1171 HK,兖矿能源,能源业,1171.HK
1177 HK,中国生物制药,医疗保健业,1177.HK
1179 HK,华住集团 - S,非必需性消费,1179.HK
1186 HK,中国铁建,工业,1186.HK
1193 HK,华润燃气,能源业,1193.HK
1194 HK,中广矿业,原材料业,1194.HK
1196 HK,伟禄集团,综合企业,1196.HK
1199 HK,中远海运港口,工业,1199.HK
1208 HK,五矿资源,原材料业,1208.HK
1209 HK,华润万象生活,地产建筑业,1209.HK
1211 HK,比亚迪股份,非必需性消费,1211.HK
1258 HK,中国有色矿业,原材料业,1258.HK
1277 HK,力量发展,能源业,1277.HK
1288 HK,农业银行,金融业,1288.HK
1299 HK,友邦保险,金融业,1299.HK
1302 HK,先健科技,医疗保健业,1302.HK
1308 HK,海丰国际,工业,1308.HK
1310 HK,香港宽频,电讯业,1310.HK
1313 HK,华润建材科技,原材料业,1313.HK
1316 HK,耐世特,工业,1316.HK
1318 HK,毛戈平,非必需性消费,1318.HK
1333 HK,博雷顿,工业,1333.HK
1336 HK,新华保险,金融业,1336.HK
1339 HK,中国人民保险集团,金融业,1339.HK
1341 HK,昊天国际建投,工业,1341.HK
1347 HK,华虹半导体,资讯科技业,1347.HK
1348 HK,微创脑科学,医疗保健业,1348.HK
1357 HK,美图公司,资讯科技业,1357.HK
1358 HK,江西铜业股份,原材料业,1358.HK
1359 HK,中国信达,金融业,1359.HK
1361 HK,361 度,非必需性消费,1361.HK
1364 HK,古茗,非必需性消费,1364.HK
1368 HK,特步国际,非必需性消费,1368.HK
1378 HK,中国宏桥,原材料业,1378.HK
1398 HK,工商银行,金融业,1398.HK
1405 HK,达势股份,非必需性消费,1405.HK
1415 HK,高伟电子,工业,1415.HK
1448 HK,福寿园,非必需性消费,1448.HK
1458 HK,科通技术,工业,1458.HK
1475 HK,日清食品,必需性消费,1475.HK
1478 HK,丘钛科技,工业,1478.HK
1513 HK,丽珠医药,医疗保健业,1513.HK
1515 HK,华润医疗,医疗保健业,1515.HK
1516 HK,融创服务,地产建筑业,1516.HK
1519 HK,极兔速递 - W,工业,1519.HK
1530 HK,三生制药,医疗保健业,1530.HK
1548 HK,金斯瑞生物科技,医疗保健业,1548.HK
1579 HK,颐海国际,必需性消费,1579.HK
1585 HK,雅迪控股,非必需性消费,1585.HK
1600 HK,天伦燃气,能源业,1600.HK
1610 HK,中粮家佳康,必需性消费,1610.HK
1635 HK,胜利管道,能源业,1635.HK
1658 HK,邮储银行,金融业,1658.HK
1675 HK,亚信科技,资讯科技业,1675.HK
1686 HK,新意网集团,非必需性消费,1686.HK
1691 HK,JS 环球生活,非必需性消费,1691.HK
1698 HK,腾讯音乐 - SW,资讯科技业,1698.HK
1709 HK,德林控股,工业,1709.HK
1729 HK,汇聚科技,工业,1729.HK
1735 HK,中环新能源,公用事业,1735.HK
1758 HK,博奇环保,能源业,1758.HK
1766 HK,中国中车,工业,1766.HK
1772 HK,赣锋锂业,原材料业,1772.HK
1773 HK,天立国际控股,非必需性消费,1773.HK
1776 HK,广发证券,金融业,1776.HK
1783 HK,晋景新能,能源业,1783.HK
1787 HK,山东黄金,原材料业,1787.HK
1788 HK,国泰君安国际,金融业,1788.HK
1789 HK,爱康医疗,医疗保健业,1789.HK
1797 HK,东方甄选,非必需性消费,1797.HK
1798 HK,大唐新能源,公用事业,1798.HK
1800 HK,中国交通建设,工业,1800.HK
1801 HK,信达生物,医疗保健业,1801.HK
1810 HK,小米集团 - W,资讯科技业,1810.HK
1811 HK,中广核新能源,公用事业,1811.HK
1816 HK,中广核电力,公用事业,1816.HK
1818 HK,招金矿业,原材料业,1818.HK
1828 HK,富卫集团,金融业,1828.HK
1833 HK,平安好医生,医疗保健业,1833.HK
1836 HK,九兴控股,工业,1836.HK
1855 HK,中庆股份,工业,1855.HK
1860 HK,汇量科技,资讯科技业,1860.HK
1876 HK,百威亚太,必需性消费,1876.HK
1880 HK,中国中免,非必需性消费,1880.HK
1882 HK,海天国际,工业,1882.HK
1883 HK,中信国际电讯,电讯业,1883.HK
1888 HK,建滔积层板,原材料业,1888.HK
1896 HK,猫眼娱乐,资讯科技业,1896.HK
1898 HK,中煤能源,能源业,1898.HK
1907 HK,中国旭阳集团,原材料业,1907.HK
1908 HK,建发国际集团,地产建筑业,1908.HK
1910 HK,新秀丽,非必需性消费,1910.HK
1913 HK,普拉达,非必需性消费,1913.HK
1917 HK,佰泽医疗,医疗保健业,1917.HK
1918 HK,融创中国,地产建筑业,1918.HK
1919 HK,中远海控,工业,1919.HK
1921 HK,达力普控股,工业,1921.HK
1928 HK,金沙中国有限公司,非必需性消费,1928.HK
1929 HK,周大福,非必需性消费,1929.HK
1951 HK,锦欣生殖,医疗保健业,1951.HK
1952 HK,云顶新耀,医疗保健业,1952.HK
1957 HK,周生生,非必需性消费,1957.HK
1958 HK,北京汽车,非必需性消费,1958.HK
1963 HK,重庆银行,金融业,1963.HK
1969 HK,中国春来,非必需性消费,1969.HK
1972 HK,太古地产,地产建筑业,1972.HK
1988 HK,民生银行,金融业,1988.HK
1997 HK,九龙仓置业,地产建筑业,1997.HK
1999 HK,敏华控股,非必需性消费,1999.HK
2005 HK,石四药集团,医疗保健业,2005.HK
2006 HK,锦江资本,能源业,2006.HK
2007 HK,碧桂园,地产建筑业,2007.HK
2013 HK,微盟集团,资讯科技业,2013.HK
2015 HK,理想汽车 - W,非必需性消费,2015.HK
2016 HK,浙商银行,金融业,2016.HK
2018 HK,瑞声科技,资讯科技业,2018.HK
2020 HK,安踏体育,非必需性消费,2020.HK
2038 HK,富智康集团,工业,2038.HK
2039 HK,中集集团,工业,2039.HK
2057 HK,中通快递 - W,工业,2057.HK
2096 HK,先声药业,医疗保健业,2096.HK
2097 HK,蜜雪集团,非必需性消费,2097.HK
2099 HK,中国黄金国际,原材料业,2099.HK
2128 HK,中国联塑,原材料业,2128.HK
2145 HK,上美股份,非必需性消费,2145.HK
2155 HK,森松国际,工业,2155.HK
2157 HK,乐普生物 - B,医疗保健业,2157.HK
2158 HK,医渡科技,医疗保健业,2158.HK
2162 HK,康诺亚 - B,医疗保健业,2162.HK
2169 HK,沧港铁路,工业,2169.HK
2186 HK,绿叶制药,医疗保健业,2186.HK
2192 HK,医脉通,医疗保健业,2192.HK
2196 HK,复星医药,医疗保健业,2196.HK
2199 HK,维达国际,非必需性消费,2199.HK
2202 HK,万科企业,地产建筑业,2202.HK
2208 HK,金隅集团,工业,2208.HK
2228 HK,晶泰控股,工业,2228.HK
2232 HK,晶苑国际,非必需性消费,2232.HK
2233 HK,西部水泥,原材料业,2233.HK
2252 HK,微创机器人 - B,医疗保健业,2252.HK
2255 HK,海昌海洋公园,非必需性消费,2255.HK
2268 HK,药明合联,医疗保健业,2268.HK
2269 HK,药明生物,医疗保健业,2269.HK
2273 HK,固生堂,医疗保健业,2273.HK
2276 HK,康耐特光学,非必需性消费,2276.HK
2281 HK,华能新能源,能源业,2281.HK
2282 HK,美高梅中国,非必需性消费,2282.HK
2285 HK,泉峰控股,工业,2285.HK
2291 HK,心泰医疗,医疗保健业,2291.HK
2313 HK,申洲国际,工业,2313.HK
2314 HK,理文造纸,原材料业,2314.HK
2318 HK,中国平安,金融业,2318.HK
2319 HK,蒙牛乳业,必需性消费,2319.HK
2328 HK,中国财险,金融业,2328.HK
2331 HK,李宁,非必需性消费,2331.HK
2333 HK,长城汽车,非必需性消费,2333.HK
2338 HK,潍柴动力,工业,2338.HK
2343 HK,太平洋航运,工业,2343.HK
2345 HK,怡和策略控股,原材料业,2345.HK
2356 HK,大新银行集团,金融业,2356.HK
2357 HK,中航科工,工业,2357.HK
2359 HK,药明康德,医疗保健业,2359.HK
2367 HK,巨子生物,医疗保健业,2367.HK
2378 HK,保诚,金融业,2378.HK
2380 HK,中国电力,公用事业,2380.HK
2382 HK,舜宇光学科技,工业,2382.HK
2386 HK,中石化炼化工程,工业,2386.HK
2388 HK,中银香港,金融业,2388.HK
2400 HK,心动公司,资讯科技业,2400.HK
2410 HK,同源康医药 - B,医疗保健业,2410.HK
2419 HK,德康农牧,必需性消费,2419.HK
2423 HK,贝壳 - W,地产建筑业,2423.HK
2429 HK,友宝在线,非必需性消费,2429.HK
2431 HK,佑驾创新,工业,2431.HK
2432 HK,越疆,工业,2432.HK
2443 HK,汽车街,非必需性消费,2443.HK
2460 HK,华润饮料,必需性消费,2460.HK
2469 HK,粉笔,非必需性消费,2469.HK
2473 HK,喜相逢集团,非必需性消费,2473.HK
2488 HK,元征科技,原材料业,2488.HK
2498 HK,速腾聚创,工业,2498.HK
2506 HK,讯飞医疗科技,医疗保健业,2506.HK
2510 HK,德翔海运,工业,2510.HK
2517 HK,锅圈,非必需性消费,2517.HK
2522 HK,一脉阳光,医疗保健业,2522.HK
2525 HK,禾赛集团 - W,工业,2525.HK
2533 HK,黑芝麻智能,工业,2533.HK
2550 HK,宜搜科技,资讯科技业,2550.HK
2552 HK,华领医药 - B,医疗保健业,2552.HK
2555 HK,茶百道,非必需性消费,2555.HK
2556 HK,迈富时,非必需性消费,2556.HK
2570 HK,重塑能源,工业,2570.HK
2577 HK,英诺赛科,原材料业,2577.HK
2580 HK,奥克斯电气,工业,2580.HK
2582 HK,国富氢能,工业,2582.HK
2586 HK,多点数智,非必需性消费,2586.HK
2587 HK,健康之路,医疗保健业,2587.HK
2588 HK,中银航空租赁,工业,2588.HK
2589 HK,沪上阿姨,非必需性消费,2589.HK
2590 HK,极智嘉科技 - W,工业,2590.HK
2591 HK,因诺医药 - B,医疗保健业,2591.HK
2600 HK,中国铝业,原材料业,2600.HK
2601 HK,中国太保,金融业,2601.HK
2602 HK,万物云,地产建筑业,2602.HK
2607 HK,上海医药,医疗保健业,2607.HK
2610 HK,南山铝业国际,原材料业,2610.HK
2611 HK,国泰海通,金融业,2611.HK
2618 HK,京东物流,工业,2618.HK
2628 HK,中国人寿,金融业,2628.HK
2638 HK,港灯 - SS,公用事业,2638.HK
2666 HK,环球医疗,医疗保健业,2666.HK
2669 HK,中海物业,地产建筑业,2669.HK
2688 HK,新奥能源,能源业,2688.HK
2689 HK,玖龙纸业,原材料业,2689.HK
2698 HK,魏桥纺织,原材料业,2698.HK
2727 HK,上海电气,工业,2727.HK
2778 HK,冠君产业信托,地产建筑业,2778.HK
2799 HK,中信金融资产,金融业,2799.HK
2858 HK,易鑫集团,非必需性消费,2858.HK
2869 HK,绿城服务,地产建筑业,2869.HK
2877 HK,神威药业,医疗保健业,2877.HK
2880 HK,阿里健康,医疗保健业,2880.HK
2883 HK,中海油田服务,能源业,2883.HK
2899 HK,紫金矿业,原材料业,2899.HK
3223 HK,中国天瑞水泥,原材料业,3223.HK
3288 HK,海天味业,必需性消费,3288.HK
3306 HK,江南布衣,非必需性消费,3306.HK
3311 HK,中国建筑国际,地产建筑业,3311.HK
3320 HK,华润医药,医疗保健业,3320.HK
3323 HK,中国建材,原材料业,3323.HK
3328 HK,交通银行,金融业,3328.HK
3337 HK,安东油田服务,能源业,3337.HK
3339 HK,中国龙工,工业,3339.HK
3360 HK,远东宏信,金融业,3360.HK
3375 HK,东方电气,能源业,3375.HK
3380 HK,龙光集团,地产建筑业,3380.HK
3402 HK,中联重科,能源业,3402.HK
3606 HK,福耀玻璃,原材料业,3606.HK
3613 HK,同仁堂国药,医疗保健业,3613.HK
3618 HK,重庆农村商业银行,金融业,3618.HK
3633 HK,中裕能源,能源业,3633.HK
3677 HK,正力新能,工业,3677.HK
3690 HK,美团 - W,非必需性消费,3690.HK
3692 HK,翰森制药,医疗保健业,3692.HK
3709 HK,赢家时尚,非必需性消费,3709.HK
3738 HK,阜博集团,非必需性消费,3738.HK
3800 HK,协鑫科技,原材料业,3800.HK
3808 HK,中国重汽,工业,3808.HK
3868 HK,信义能源,公用事业,3868.HK
3877 HK,中国船舶租赁,工业,3877.HK
3888 HK,金山软件,资讯科技业,3888.HK
3896 HK,金山云,资讯科技业,3896.HK
3898 HK,时代电气,工业,3898.HK
3900 HK,绿城中国,地产建筑业,3900.HK
3908 HK,中金公司,金融业,3908.HK
3918 HK,金界控股,非必需性消费,3918.HK
3931 HK,中创新航,工业,3931.HK
3933 HK,联邦制药,医疗保健业,3933.HK
3939 HK,万国黄金集团,原材料业,3939.HK
3968 HK,招商银行,金融业,3968.HK
3969 HK,中国通号,工业,3969.HK
3988 HK,中国银行,金融业,3988.HK
3990 HK,美的置业,地产建筑业,3990.HK
3993 HK,洛阳钼业,原材料业,3993.HK
3996 HK,中集安瑞科,能源业,3996.HK
3998 HK,波司登,非必需性消费,3998.HK
6030 HK,中信证券,金融业,6030.HK
6033 HK,高鑫零售,非必需性消费,6033.HK
6049 HK,保利物业,地产建筑业,6049.HK
6055 HK,中烟香港,必需性消费,6055.HK
6060 HK,众安在线,资讯科技业,6060.HK
6066 HK,中信建投证券,金融业,6066.HK
6069 HK,盛业,金融业,6069.HK
6078 HK,海吉亚医疗,医疗保健业,6078.HK
6086 HK,方舟健客,医疗保健业,6086.HK
6088 HK,鸿腾精密科技,资讯科技业,6088.HK
6098 HK,碧桂园服务,地产建筑业,6098.HK
6099 HK,招商证券,金融业,6099.HK
6100 HK,通达集团,工业,6100.HK
6110 HK,滔搏,非必需性消费,6110.HK
6160 HK,百济神州,医疗保健业,6160.HK
6181 HK,老铺黄金,非必需性消费,6181.HK
6186 HK,中国飞鹤,必需性消费,6186.HK
6198 HK,卓尔智联,工业,6198.HK
6616 HK,环球新材国际,原材料业,6616.HK
6618 HK,京东健康,医疗保健业,6618.HK
6655 HK,华新水泥,原材料业,6655.HK
6666 HK,恒大物业,地产建筑业,6666.HK
6681 HK,脑动极光 - B,医疗保健业,6681.HK
6682 HK,第四范式,资讯科技业,6682.HK
6683 HK,巨星传奇,非必需性消费,6683.HK
6690 HK,海尔智家,资讯科技业,6690.HK
6699 HK,时代天使,医疗保健业,6699.HK
6800 HK,远洋集团,非必需性消费,6800.HK
6808 HK,申洲国际,工业,6808.HK
6823 HK,香港电讯 - SS,电讯业,6823.HK
6855 HK,亚盛医药 - B,医疗保健业,6855.HK
6862 HK,海底捞,非必需性消费,6862.HK
6865 HK,福莱特玻璃,工业,6865.HK
6881 HK,中国银河,金融业,6881.HK
6886 HK,华泰证券,金融业,6886.HK
6955 HK,博安生物,医疗保健业,6955.HK
6963 HK,阳光保险,金融业,6963.HK
6969 HK,思摩尔国际,资讯科技业,6969.HK
6979 HK,珍酒李渡,非必需性消费,6979.HK
6990 HK,科伦博泰生物 - B,医疗保健业,6990.HK
6993 HK,蓝月亮集团,必需性消费,6993.HK
6998 HK,嘉和生物 - B,医疗保健业,6998.HK
9606 HK,映恩生物 - B,医疗保健业,9606.HK
9618 HK,京东集团 - SW,资讯科技业,9618.HK
9626 HK,哔哩哔哩 - W,资讯科技业,9626.HK
9633 HK,农夫山泉,必需性消费,9633.HK
9636 HK,九方智投控股,资讯科技业,9636.HK
9658 HK,特海国际,非必需性消费,9658.HK
9660 HK,地平线机器人 - W,资讯科技业,9660.HK
9688 HK,再鼎医药,医疗保健业,9688.HK
9690 HK,途虎 - W,非必需性消费,9690.HK
9698 HK,万国数据 - SW,资讯科技业,9698.HK
9699 HK,宝尊电商 - SW,工业,9699.HK
9858 HK,优然牧业,原材料业,9858.HK
9860 HK,艾迪康控股,医疗保健业,9860.HK
9863 HK,零跑汽车,非必需性消费,9863.HK
9866 HK,蔚来 - SW,非必需性消费,9866.HK
9868 HK,小鹏汽车 - W,非必需性消费,9868.HK
9880 HK,优必选,资讯科技业,9880.HK
9885 HK,药师帮,医疗保健业,9885.HK
9888 HK,百度集团 - SW,资讯科技业,9888.HK
9890 HK,中旭未来,非必需性消费,9890.HK
9896 HK,名创优品,非必需性消费,9896.HK
9898 HK,微博 - SW,资讯科技业,9898.HK
9899 HK,网易云音乐,资讯科技业,9899.HK
9926 HK,康方生物,医疗保健业,9926.HK
9956 HK,安能物流,工业,9956.HK
9961 HK,天能动力,工业,9961.HK
9969 HK,诺诚健华,医疗保健业,9969.HK
9973 HK,奇瑞汽车,非必需性消费,9973.HK
9979 HK,绿城管理控股,地产建筑业,9979.HK
9985 HK,卫龙美味,必需性消费,9985.HK
9987 HK,百胜中国,非必需性消费,9987.HK
9988 HK,阿里巴巴 - W,非必需性消费,9988.HK
9992 HK,泡泡玛特,非必需性消费,9992.HK
9993 HK,金辉控股,地产建筑业,9993.HK
9999 HK,网易 - S,资讯科技业,9999.HK
